water_body_id,water_body_code,water_body_desc,location_id,location_code,location_desc,shape,upper_rm,lower_rm,section
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,704C69B7-802B-439A-9118-49DD9F14AF7E,"Maryhill Ramp, WA",RM 209,NA,209,209,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,92353B22-F784-4DC9-84AC-15D8954A2FE1,East End of Maryhill Orchards,RM 211,NA,211,211,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,9BF0B3BB-F0D6-484C-AF77-CB4F5A027939,"Channel Marker #41 Ramp, WA",RM 212,NA,212,212,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,41024BB4-B251-4977-AFCC-5D64C835A214,"Ramp at end of Cliffs, WA",RM 213,NA,213,213,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,734ABEB1-8B12-4BEB-B5E4-927A0DF0540E,"Miller Pt, WA",RM 207,NA,207,207,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,E8913CF5-07CC-4962-9608-C2F681DD06EE,Hwy 97 Bridge - WA,RM 209,NA,209,209,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,BED212B7-C19B-4761-8DF7-5E6C7131F739,"orchard - marker 41, WA",RM 211,NA,211,211,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,96919129-8A97-429D-BD2B-E79319178EEB,"marker 41 - end of cliffs, WA",RM 212,NA,212,212,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,17D276DE-7E7D-47A5-8D89-1A1BC8DEB33C,"RM 213, WA",NA,NA,213,213,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,62D7DF5F-F1CA-48A8-AA9C-6265D986E462,"RM 214, WA",NA,NA,214,214,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,BF1FEF2D-4212-4B7F-BCBF-C44703FB68A6,"Lower Rufus Park, OR",RM 215,NA,215,215,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,6D6BABE8-2B34-4F03-A5A5-25110AEDD24C,"Upper Rufus Park, OR",RM 216,NA,216,216,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,D2D0DCA6-51F4-4B04-A218-6307E8B57BDC,"upper Cliffs Park ramp, WA",RM 216,NA,216,216,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,82209408-794C-44A5-A7F0-2231191AD2E3,RM 192,NA,NA,192,192,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,1E9B3AE8-360B-4409-BD66-0C3A767E0145,RM 193,NA,NA,193,193,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,DEDB38BA-E434-4B33-A5AD-84ECB346C657,RM 194,NA,NA,194,194,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,F0750505-93C1-4AE9-984E-D5CEA66A8E35,RM 195,NA,NA,195,195,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,31E400FF-CE10-4999-9ED8-5CB493714D36,RM 196,NA,NA,196,196,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,A310BF7A-BF5C-4363-8E74-FAB528D7CB1C,RM 197,NA,NA,197,197,NA
54977979-0C03-4173-B50F-4E43B87D17C6,Rock Cr,Upper Gorge - Rock Creek,2F7E6227-CF56-4E84-ABE3-C9BC8C8B9C1D,ROCK 1,Mouth to waterfall,NA,0,0,NA
5E695E19-82E4-48FF-9B3D-DF227CBFAA5D,Lewis - NF,North Fork Lewis River,10D6C3F7-E21D-44B6-910A-EA84F789CEEA,Woodland Town Ramp,"Boat Ramp below Hayes Road bridge in Woodland, WA",NA,7,NA,NA
5E695E19-82E4-48FF-9B3D-DF227CBFAA5D,Lewis - NF,North Fork Lewis River,CB918BE0-63FF-4048-8930-F15ADAC4F0EC,South side, Below and above Cedar Cr.,NA,15,15,NA
5E695E19-82E4-48FF-9B3D-DF227CBFAA5D,Lewis - NF,North Fork Lewis River,6383F09E-0A68-4D85-AE3F-771E5C86D34D,North side, Johnson Cr. and below Lewis Hatchery,NA,15,15,NA
5E695E19-82E4-48FF-9B3D-DF227CBFAA5D,Lewis - NF,North Fork Lewis River,CD546A9D-880B-4A6C-AB7A-A739203AFF89,Merwin Dam Ramp, PacificCorp Ramp,NA,18,NA,NA
5E695E19-82E4-48FF-9B3D-DF227CBFAA5D,Lewis - NF,North Fork Lewis River,D6EEF095-0D3F-4474-994A-F1AD56A24109,Hatchery Ramp, WDFW access/primitive,NA,15,NA,NA
5E695E19-82E4-48FF-9B3D-DF227CBFAA5D,Lewis - NF,North Fork Lewis River,D143AFF8-3A85-426E-AAD1-00ED978D251F,Cedar Creek Ramp, WDFW access,NA,15,NA,NA
5E695E19-82E4-48FF-9B3D-DF227CBFAA5D,Lewis - NF,North Fork Lewis River,631B057B-A2AA-4521-9BEC-3D3CD07D73ED,Haapa Ramp, Clark County Ramp,NA,14,NA,NA
5E695E19-82E4-48FF-9B3D-DF227CBFAA5D,Lewis - NF,North Fork Lewis River,CDD08FAB-FD74-4661-8C33-410C32BA3202,Golf Course Ramp, Private allows access to public/primitive,NA,12,NA,NA
5E695E19-82E4-48FF-9B3D-DF227CBFAA5D,Lewis - NF,North Fork Lewis River,04A7EC06-9F08-4833-9F62-32A02FED58DE,Eagle Island Ramp, WDFW access,NA,11,NA,NA
5E695E19-82E4-48FF-9B3D-DF227CBFAA5D,Lewis - NF,North Fork Lewis River,1C2ABEBE-CCBA-4018-A394-3E9CA82909E3,S. Pekin/ Forks Ramp, WDFW access,NA,3,NA,NA
5E695E19-82E4-48FF-9B3D-DF227CBFAA5D,Lewis - NF,North Fork Lewis River,F8782866-C6DB-435C-B4E8-CAE0C63ED67D,NF Johnson to EF,Johnson Creek to East Fork Lewis confluence,NA,15,3,NA
5E695E19-82E4-48FF-9B3D-DF227CBFAA5D,Lewis - NF,North Fork Lewis River,66EFA4AB-7E5A-4CBA-A2E9-C37209D4B75E,NF deadline,Merwin Dam deadline to Johnson Creek below the Hatchery,NA,19,15,NA
5E695E19-82E4-48FF-9B3D-DF227CBFAA5D,Lewis - NF,North Fork Lewis River,C94355B5-0F0A-4BEF-A99B-1297AA2C05CE,NF combined,Deadline below Merwin Dam to mouth of East Fork Lewis,NA,19,3,NA
D18B0D06-4DD8-4033-BA01-6451C1A4E7FF,Bonn Pool,Bonneville Pool Reservoir,6692BE2C-2DF3-4215-B842-E7B53A0FBD77,"Eagle Creek, OR",RM 146,NA,146,146,NA
D18B0D06-4DD8-4033-BA01-6451C1A4E7FF,Bonn Pool,Bonneville Pool Reservoir,B13F67AC-917D-49A4-8D6C-CDE2F5968713,"Cascade Locks, OR",RM 148,NA,148,148,NA
D18B0D06-4DD8-4033-BA01-6451C1A4E7FF,Bonn Pool,Bonneville Pool Reservoir,CD902871-BA5A-405D-BEEA-64EA20CF6466,"Stevenson, WA",RM 150,NA,150,150,NA
D18B0D06-4DD8-4033-BA01-6451C1A4E7FF,Bonn Pool,Bonneville Pool Reservoir,0A89614D-A701-4126-95DD-40DFD221999B,"Wind River, WA",RM 154,NA,154,154,NA
D18B0D06-4DD8-4033-BA01-6451C1A4E7FF,Bonn Pool,Bonneville Pool Reservoir,04B5355B-6760-47A3-801E-110FCF31029F,"Drano Lake, WA",RM 162,NA,162,162,NA
D18B0D06-4DD8-4033-BA01-6451C1A4E7FF,Bonn Pool,Bonneville Pool Reservoir,EA56212E-2661-4586-8C21-AD388238AB91,"Hood River Ramp, OR",RM 169,NA,169,169,NA
D18B0D06-4DD8-4033-BA01-6451C1A4E7FF,Bonn Pool,Bonneville Pool Reservoir,1E465BEB-033C-4EB9-965F-043ACD98CB02,"Bingen, WA",RM 171,NA,171,171,NA
D18B0D06-4DD8-4033-BA01-6451C1A4E7FF,Bonn Pool,Bonneville Pool Reservoir,1D6A076E-99F5-4070-8291-3A247EB551A7,"East Mayer Park, OR",RM 182,NA,182,182,NA
D18B0D06-4DD8-4033-BA01-6451C1A4E7FF,Bonn Pool,Bonneville Pool Reservoir,CCA27F99-1DF6-4555-822F-607A2335CCCA,"Lyle, WA",RM 180,NA,180,180,NA
D18B0D06-4DD8-4033-BA01-6451C1A4E7FF,Bonn Pool,Bonneville Pool Reservoir,95600E23-6695-4E3E-B15E-CA46C6B4CDFF,"The Dalles, OR",RM 187,NA,191,187,NA
D18B0D06-4DD8-4033-BA01-6451C1A4E7FF,Bonn Pool,Bonneville Pool Reservoir,52622AEB-73A4-40AE-9E36-361F0A1EEC7C,"Starvation Creek, OR",RM 160,NA,160,160,NA
D18B0D06-4DD8-4033-BA01-6451C1A4E7FF,Bonn Pool,Bonneville Pool Reservoir,00280CB0-D8D2-4371-B46C-FA3104F7C276,"Dallesport, WA",RM 187,NA,189,187,NA
D18B0D06-4DD8-4033-BA01-6451C1A4E7FF,Bonn Pool,Bonneville Pool Reservoir,4B90B306-CC6B-4BB5-BA24-9BE4ACF50EF1,Bridge - Gov't Cove,RM 148,NA,151,148,NA
D18B0D06-4DD8-4033-BA01-6451C1A4E7FF,Bonn Pool,Bonneville Pool Reservoir,D5788A52-564D-4855-AE65-05C8322A904B,"Lone Pine, WA",RM 160,NA,160,160,NA
D18B0D06-4DD8-4033-BA01-6451C1A4E7FF,Bonn Pool,Bonneville Pool Reservoir,143839F0-6650-4B86-9E83-BD7168AAB85C,Drano Pt & Shack WA,RM 162,NA,162,162,NA
D18B0D06-4DD8-4033-BA01-6451C1A4E7FF,Bonn Pool,Bonneville Pool Reservoir,A4A0C0CA-3C26-41E3-A20F-B6348A65D34C,"Sturgeon Rocks, OR",RM 162,NA,162,162,NA
D18B0D06-4DD8-4033-BA01-6451C1A4E7FF,Bonn Pool,Bonneville Pool Reservoir,F625B0BC-8C5F-498D-B30F-4FF23597E2CD,Lone Pine - Mitchell Pt.,RM 160,NA,160,160,NA
D18B0D06-4DD8-4033-BA01-6451C1A4E7FF,Bonn Pool,Bonneville Pool Reservoir,65E09E0D-8E30-4633-966E-D5A78CDEA3EE,"Tunnel #5, WA",RM 165,NA,165,165,NA
D18B0D06-4DD8-4033-BA01-6451C1A4E7FF,Bonn Pool,Bonneville Pool Reservoir,646EA682-64E0-4BE0-BD1D-C20E959B3BEB,Tunnel 4 - Spring Cr.,RM 164,NA,167,164,NA
D18B0D06-4DD8-4033-BA01-6451C1A4E7FF,Bonn Pool,Bonneville Pool Reservoir,50AF582B-293E-462D-B7F6-2AA9A2C8A60F,Hook & HR sailpark,RM 168,NA,169,168,NA
D18B0D06-4DD8-4033-BA01-6451C1A4E7FF,Bonn Pool,Bonneville Pool Reservoir,5719AB5F-0A3B-47F8-8399-2FA5C2DD4DD5,Spring Cr. - HR Bridge,RM 167,NA,169,167,NA
D18B0D06-4DD8-4033-BA01-6451C1A4E7FF,Bonn Pool,Bonneville Pool Reservoir,D3C54B7D-CA4E-45A8-AAE3-A94663B768E2,HR Bridge - Rowland Lake,RM 169,NA,176,169,NA
D18B0D06-4DD8-4033-BA01-6451C1A4E7FF,Bonn Pool,Bonneville Pool Reservoir,731AE4B3-6F31-4C2B-BA06-1CD4CB64BA1E,Klickitat R. Mouth,RM 179,NA,180,179,NA
D18B0D06-4DD8-4033-BA01-6451C1A4E7FF,Bonn Pool,Bonneville Pool Reservoir,A953835E-4F81-4718-BE51-499FE4A4E463,"The Dalles Industrial, OR",RM 187,NA,189,187,NA
D18B0D06-4DD8-4033-BA01-6451C1A4E7FF,Bonn Pool,Bonneville Pool Reservoir,09DF385B-B76B-421C-BE9B-FC516E47352D,"Blackberry beach, OR",RM 151,NA,151,151,NA
D18B0D06-4DD8-4033-BA01-6451C1A4E7FF,Bonn Pool,Bonneville Pool Reservoir,21C5AD33-DDE9-47A0-B7FB-75DA4EBAFE36,"Swell City, WA",RM 166,NA,166,166,NA
D18B0D06-4DD8-4033-BA01-6451C1A4E7FF,Bonn Pool,Bonneville Pool Reservoir,731E7C3C-460A-48DB-85B2-96B025AA1FAE,Pumphouse - TD Bridge,RM 187,NA,192,187,NA
D18B0D06-4DD8-4033-BA01-6451C1A4E7FF,Bonn Pool,Bonneville Pool Reservoir,14129A81-715B-4632-AB86-BC2300DB413F,"Drano Pt, WA",RM 162,NA,162,162,NA
D18B0D06-4DD8-4033-BA01-6451C1A4E7FF,Bonn Pool,Bonneville Pool Reservoir,511ADF58-5F00-4892-8A76-CA065D46663A,Section 3 BP,RM 145,NA,159,145,NA
D18B0D06-4DD8-4033-BA01-6451C1A4E7FF,Bonn Pool,Bonneville Pool Reservoir,93A53A71-F262-4698-8189-2F6C55DF45A4,Section 2 BP,RM 160,NA,176,160,NA
D18B0D06-4DD8-4033-BA01-6451C1A4E7FF,Bonn Pool,Bonneville Pool Reservoir,9DD792F8-4AB2-4A70-A7B3-2783D65431FE,Section 1 BP,RM 177,NA,191,177,NA
