water_body_desc,location_code,section
Germany Creek,Section #1,
Skamokawa Creek,Section #2,
Skamokawa Creek,Section #1,
Spearfish Lake,Spearfish Lake,
Ft. Borst Park Pond,Ft. Borst Park Pond,
Vancouver Lake,Vancouver Lake,
Ashes Lake (Big Ash Lake),Ashes Lake (Big Ash Lake),
Hayes Lake,Hayes Lake,
Salmon Creek,Section #2,
Salmon Creek,Section #1,
Salmon Creek,Section #0,
Carlisle Lake,Carlisle Lake,
White Salmon River,White Salmon - General,
White Salmon River,White Salmon mouth,
White Salmon River,WS 1,
White Salmon River,WS 1a,
White Salmon River,WS TIE-IN 4,
White Salmon River,WS TIE-IN 3,
White Salmon River,WS TIE-IN 2,
White Salmon River,WS TIE-IN 1,
White Salmon River,WS 5,
White Salmon River,WS 4,
White Salmon River,WS 3,
White Salmon River,WS 2,
White Salmon River,WS 1b,
Lacamas Lake,Lacamas Lake,
South Lewis County Park Pond,South Lewis County Park Pond,
Swofford Pond,Swofford Pond,
Little White Salmon - Drano Lake,Drano Lake,
Castle Lake,Castle Lake,
Rowland Lake,Rowland Lake,
Yale Reservoir,Y3,
Yale Reservoir,Yale Park Ramp,
Yale Reservoir,Y2,
Yale Reservoir,Saddle Dam Ramp,
Yale Reservoir,Beaver Bay Ramp,
Yale Reservoir,Yale Total,
Yale Reservoir,Cougar Camp Ramp,
Yale Reservoir,Y1,
Lake Sacajawea,Lake Sacajawea,
Maryhill Pond,Maryhill Pond,
Council Lake,Council Lake,
Battle Ground Lake,Battle Ground Lake,
Davis Lake,Davis Lake,
Abernathy Creek,"Tie-in ""B"" - Section #2",
Abernathy Creek,"Tie-in ""A"" - Section #1",
Abernathy Creek,Section #2,
Abernathy Creek,Section #1,
Chambers Lake,Chambers Lake,
Cowlitz River,Cowlitz Combined,
Cowlitz River,Upper Cowlitz,
Cowlitz River,Lower Cowlitz,
Cowlitz River,Barrier Dam ADA Platform,
Cowlitz River,Mission Bar,
Cowlitz River,Toledo,
Cowlitz River,I5,
Cowlitz River,Olequa Boat Ramp,
Cowlitz River,Castle Rock,
Cowlitz River,Camelot,
Cowlitz River,Gerhart,
Cowlitz River,Barrier Dam,
Cowlitz River,Mission Bar,
Cowlitz River,Toledo,
Cowlitz River,I5,
Cowlitz River,Olequa Boat Ramp,
Cowlitz River,Olequa Shacks,
Cowlitz River,Mouth of Toutle,
Cowlitz River,Chapman Road,
Cowlitz River,Castle Rock,
Cowlitz River,Camelot,
Cowlitz River,Lexington,
Cowlitz River,Gerhart,
Cowlitz River,Blue Creek ADA Platform,
Cowlitz River,Blue Creek,
Cowlitz River,Barrier Dam,
Cowlitz River,Gearheart,
Elochoman River,Section #0,
Elochoman River,Section #6,
Elochoman River,Section #5,
Elochoman River,Section #4,
Elochoman River,Section #3,
Elochoman River,Section #2,
Elochoman River,Section #1,
Elochoman River,"Tie-in ""D"" - Section #6",
Elochoman River,"Tie-in ""C"" - Section #5",
Elochoman River,"Tie-in ""B"" - Section #4",
Elochoman River,"Tie-in ""B"" - Section #3",
Elochoman River,"Tie-in ""A"" - Section #2",
Elochoman River,"Tie-in ""A"" - Section #1",
Grays River,"Tie-in ""A"" - Section #3",
Grays River,Section #3,
Grays River,Section #0,
Grays River,Section #1,
Grays River,"Tie-in ""A"" - Section #2",
Grays River,Section #2,
Grays River,Section #11,
Grays River,Section #9,
Grays River,"Tie-in ""B"" - Section #9",
Grays River,"Tie-in ""C"" - Section #10",
Grays River,Section #10,
Grays River,"Tie-in ""A"" - Section #4",
Grays River,"Tie-in ""A"" - Section #8",
Grays River,Section #5,
Grays River,Section #4,
Grays River,"Tie-in ""A"" - Section #5",
Grays River,Section #7,
Grays River,Section #8,
Grays River,Section #6,
Horseshoe Lake,Horseshoe Lake,
Kalama River,KAL 1,
Kalama River,KAL 3a,
Kalama River,KAL 2,
Kalama River,KAL TIE-IN 2,
Kalama River,KAL TIE-IN 3a,
Kalama River,KAL TIE-IN 1,
Kalama River,KAL 4,
Kalama River,KAL 5,
Kalama River,KAL 3b,
Kalama River,KAL TIE-IN 5,
Kalama River,KAL TIE-IN 4,
Kalama River,KAL TIE-IN 3b,
Kalama River,KAL TIE-IN 1-2014,
Kalama River,KAL 3,
Kalama River,KAL TIE-IN 2-2014,
Kalama River,KAL TIE-IN 3-2014,
Kalama River,Kalama upper,
Kalama River,Kalama combined,
Kalama River,Kalama lower,
Kalama River,Kalama - General,
Klickitat River,Klickitat Section #2,
Klickitat River,Klickitat - General,
Klickitat River,Klickitat Section #4,
Klickitat River,Klickitat Section #7,
Klickitat River,KLICK TIE-IN 1,
Klickitat River,Klickitat upper,
Klickitat River,KLICK 1,
Klickitat River,Klickitat Section #8,
Klickitat River,Klickitat Section #1,
Klickitat River,Klickitat lower,
Klickitat River,Klickitat combined,
Klickitat River,Klickitat Section #5,
Klickitat River,Klickitat Section #6,
Klickitat River,Klickitat Section #3,
East Fork Lewis River,EFL 1,
East Fork Lewis River,EFL 2,
East Fork Lewis River,EFL 3a,
East Fork Lewis River,EFL 4,
East Fork Lewis River,EFL 5,
East Fork Lewis River,EFL TIE-IN 3a,
East Fork Lewis River,EFL TIE-IN 2,
East Fork Lewis River,EFL TIE-IN 1,
East Fork Lewis River,EFL TIE-IN 0,
East Fork Lewis River,EFL TIE-IN 4,
East Fork Lewis River,EFL TIE-IN 5,
East Fork Lewis River,EFL 3b,
East Fork Lewis River,EFL TIE-IN 3b,
East Fork Lewis River,EFL 3,
East Fork Lewis River,EFL 0,
East Fork Lewis River,EFL TIE-IN 1-2014,
East Fork Lewis River,EFL TIE-IN 2-2014,
East Fork Lewis River,EFL TIE-IN 3-2015,
East Fork Lewis River,EFL TI1 - Section 0,
East Fork Lewis River,EFL TI1 - Section 1,
East Fork Lewis River,EFL TI1 - Section 2,
East Fork Lewis River,EFL TI1 - Section 3A,
East Fork Lewis River,EFL TI2 - Section 3B,
East Fork Lewis River,EFL TI2 - Section 4,
East Fork Lewis River,EFL TI2 - Section 5,
East Fork Lewis River,Section #0,
East Fork Lewis River,Section #1,
East Fork Lewis River,Section #2,
East Fork Lewis River,Section #3,
East Fork Lewis River,Section #4,
East Fork Lewis River,Section #5,
East Fork Lewis River,Section #3A,
East Fork Lewis River,Section #3B,
East Fork Lewis River,"Tie-in ""A"" - Section #0",
East Fork Lewis River,"Tie-in ""A"" - Section #1",
East Fork Lewis River,"Tie-in ""A"" - Section #2",
East Fork Lewis River,"Tie-in ""A"" - Section #3A",
East Fork Lewis River,"Tie-in ""B"" - Section #3B",
East Fork Lewis River,"Tie-in ""B"" - Section #4",
East Fork Lewis River,"Tie-in ""B"" - Section #5",
East Fork Lewis River,Section #5A,
East Fork Lewis River,Section #5B,
East Fork Lewis River,Section #5C,
East Fork Lewis River,"Tie-in ""B"" - Section #3C",
East Fork Lewis River,"Tie-in ""B"" - Section #4A",
East Fork Lewis River,"Tie-in ""C"" - Section #4B",
East Fork Lewis River,"Tie-in ""D"" - Section #5B",
East Fork Lewis River,Section #4A,
East Fork Lewis River,Section #4B,
East Fork Lewis River,Section #3C,
East Fork Lewis River,EF Lewis - General,
Mainstem Lewis River,Forks,
Mainstem Lewis River,BBs,
Mainstem Lewis River,Lewis mainstem,
Mill Creek,"Tie-in ""A"" - Section #1",
Mill Creek,Section #2,
Mill Creek,Section #1,
Horsethief Lake,Horsethief Lake,
Plummer Lake,Plummer Lake,
